"","nSims","efficacyOR","efficacyPThresh","futilityOR","futilityPThresh","maxN_1","maxN_2","OR_1","OR_1","power_1","power_1","futility_1","futility_1","OR_2","OR_2","power_2","power_2","futility_2","futility_2"
"1",10,1.1,0.84,1.075,0.78,160,0,0.856415177483614,0.926538203399973,10,10,40,30,0.84282157347162,0.885591053348867,0,0,0,0
"2",10,1.1,0.84,1.075,0.78,276,0,0.856415177483614,0.926538203399973,10,10,40,50,0.84282157347162,0.885591053348867,0,0,0,0
"3",10,1.1,0.84,1.075,0.78,374,328,0.856415177483614,0.926538203399973,10,10,40,50,0.84282157347162,0.885591053348867,0,0,40,50
"4",10,1.1,0.84,1.075,0.78,472,0,0.856415177483614,0.926538203399973,10,10,40,60,0.84282157347162,0.885591053348867,0,0,40,50
"5",10,1.1,0.84,1.075,0.78,570,496,0.856415177483614,0.926538203399973,10,10,50,60,0.84282157347162,0.885591053348867,0,10,40,60
"6",10,1.1,0.84,1.075,0.78,668,0,0.856415177483614,0.926538203399973,10,10,60,60,0.84282157347162,0.885591053348867,0,10,40,60
"7",10,1.1,0.84,1.075,0.78,766,664,0.856415177483614,0.926538203399973,10,10,70,60,0.84282157347162,0.885591053348867,0,10,40,60
"8",10,1.1,0.84,1.075,0.78,864,0,0.856415177483614,0.926538203399973,10,10,70,60,0.84282157347162,0.885591053348867,0,10,40,60
"9",10,1.1,0.84,1.075,0.78,962,832,0.856415177483614,0.926538203399973,10,10,70,60,0.84282157347162,0.885591053348867,0,10,40,70
"10",10,1.1,0.84,1.075,0.78,1058,0,0.856415177483614,0.926538203399973,10,10,90,90,0.84282157347162,0.885591053348867,0,10,40,70
